[array(283625.28125, dtype=float32), array(2.0063376426696777, dtype=float32), array(283609.09375, dtype=float32), array(14.195155143737793, dtype=float32)]
[array(36730.6015625, dtype=float32), array(1.8901904821395874, dtype=float32), array(36373.9453125, dtype=float32), array(354.7640075683594, dtype=float32)]
[array(127584.8203125, dtype=float32), array(1.7923651933670044, dtype=float32), array(-127228.03125, dtype=float32), array(354.9964599609375, dtype=float32)]
[array(21847.685546875, dtype=float32), array(1.8736902475357056, dtype=float32), array(-21491.03515625, dtype=float32), array(354.77685546875, dtype=float32)]
[array(164140.90625, dtype=float32), array(1.876039981842041, dtype=float32), array(163784.0625, dtype=float32), array(354.9742126464844, dtype=float32)]
[array(23205.583984375, dtype=float32), array(1.8516308069229126, dtype=float32), array(-22848.95703125, dtype=float32), array(354.7748107910156, dtype=float32)]
[array(147479.90625, dtype=float32), array(1.876039981842041, dtype=float32), array(147123.109375, dtype=float32), array(354.9295349121094, dtype=float32)]
[array(29210.1875, dtype=float32), array(1.8055216073989868, dtype=float32), array(-28853.60546875, dtype=float32), array(354.7770690917969, dtype=float32)]
[array(94650.3359375, dtype=float32), array(2.029160261154175, dtype=float32), array(94293.453125, dtype=float32), array(354.8500061035156, dtype=float32)]
[array(73313.4765625, dtype=float32), array(1.8062314987182617, dtype=float32), array(-72956.765625, dtype=float32), array(354.9100036621094, dtype=float32)]
[array(37539.234375, dtype=float32), array(1.8057194948196411, dtype=float32), array(37182.5703125, dtype=float32), array(354.8586120605469, dtype=float32)]
[array(73323.7734375, dtype=float32), array(1.8062318563461304, dtype=float32), array(-72967.0625, dtype=float32), array(354.9080505371094, dtype=float32)]
[array(37528.50390625, dtype=float32), array(1.8057960271835327, dtype=float32), array(37171.84375, dtype=float32), array(354.8565979003906, dtype=float32)]
[array(73332.515625, dtype=float32), array(1.8062320947647095, dtype=float32), array(-72975.8046875, dtype=float32), array(354.90606689453125, dtype=float32)]
[array(37519.44140625, dtype=float32), array(1.805859088897705, dtype=float32), array(37162.78125, dtype=float32), array(354.8546142578125, dtype=float32)]
[array(73339.9921875, dtype=float32), array(1.8062320947647095, dtype=float32), array(-72983.28125, dtype=float32), array(354.9040832519531, dtype=float32)]
[array(37511.72265625, dtype=float32), array(1.8059096336364746, dtype=float32), array(37155.06640625, dtype=float32), array(354.8526306152344, dtype=float32)]
[array(73346.421875, dtype=float32), array(1.8062323331832886, dtype=float32), array(-72989.71875, dtype=float32), array(354.9021301269531, dtype=float32)]
[array(37505.1015625, dtype=float32), array(1.8059505224227905, dtype=float32), array(37148.4453125, dtype=float32), array(354.8506164550781, dtype=float32)]
[array(73352.046875, dtype=float32), array(1.8062323331832886, dtype=float32), array(-72995.34375, dtype=float32), array(354.9001159667969, dtype=float32)]
[array(37499.33984375, dtype=float32), array(1.8059834241867065, dtype=float32), array(37142.6875, dtype=float32), array(354.8486022949219, dtype=float32)]
[array(73357.0, dtype=float32), array(1.8062324523925781, dtype=float32), array(-73000.296875, dtype=float32), array(354.8981628417969, dtype=float32)]
[array(37494.27734375, dtype=float32), array(1.806010365486145, dtype=float32), array(37137.625, dtype=float32), array(354.84661865234375, dtype=float32)]
[array(73361.40625, dtype=float32), array(1.8062324523925781, dtype=float32), array(-73004.703125, dtype=float32), array(354.8961486816406, dtype=float32)]
[array(37489.78125, dtype=float32), array(1.8060325384140015, dtype=float32), array(37133.1328125, dtype=float32), array(354.8446044921875, dtype=float32)]
[array(73365.359375, dtype=float32), array(1.8062324523925781, dtype=float32), array(-73008.6640625, dtype=float32), array(354.8941650390625, dtype=float32)]
[array(37485.765625, dtype=float32), array(1.8060508966445923, dtype=float32), array(37129.1171875, dtype=float32), array(354.8426208496094, dtype=float32)]
[array(73368.9296875, dtype=float32), array(1.8062324523925781, dtype=float32), array(-73012.234375, dtype=float32), array(354.8921813964844, dtype=float32)]
[array(37482.12109375, dtype=float32), array(1.8060665130615234, dtype=float32), array(37125.4765625, dtype=float32), array(354.8406066894531, dtype=float32)]
[array(73372.203125, dtype=float32), array(1.8062324523925781, dtype=float32), array(-73015.5078125, dtype=float32), array(354.89019775390625, dtype=float32)]
[array(37478.80078125, dtype=float32), array(1.8060798645019531, dtype=float32), array(37122.15625, dtype=float32), array(354.8385925292969, dtype=float32)]
[array(73375.203125, dtype=float32), array(1.8062324523925781, dtype=float32), array(-73018.5078125, dtype=float32), array(354.88818359375, dtype=float32)]
[array(37475.765625, dtype=float32), array(1.8060914278030396, dtype=float32), array(37119.125, dtype=float32), array(354.8366394042969, dtype=float32)]
[array(73377.9375, dtype=float32), array(1.8062324523925781, dtype=float32), array(-73021.25, dtype=float32), array(354.8861999511719, dtype=float32)]
[array(37472.9765625, dtype=float32), array(1.8061012029647827, dtype=float32), array(37116.3359375, dtype=float32), array(354.8346252441406, dtype=float32)]
[array(73380.5078125, dtype=float32), array(1.8062324523925781, dtype=float32), array(-73023.8203125, dtype=float32), array(354.88421630859375, dtype=float32)]
[array(37470.38671875, dtype=float32), array(1.8061100244522095, dtype=float32), array(37113.75, dtype=float32), array(354.8326110839844, dtype=float32)]
[array(73382.8828125, dtype=float32), array(1.8062324523925781, dtype=float32), array(-73026.1953125, dtype=float32), array(354.8822326660156, dtype=float32)]
